trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.870407308325,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.20620412479556,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.70988046236558,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.33630203786522,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.86742071041127,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.83601454554136,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.03748638083853,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.86916172834281,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.3158795242439,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.14482755151363,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-149.344410320008,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.63797295759787,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.92371742286733,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.0644111637115,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.68047855640054,"{0: 8, 1: 7, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.24589248457949,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.28920142077908,"{0: 16, 1: 4, 2: 1, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.9050639606309,"{0: 12, 1: 7, 2: 6, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,3,-330.82295653395,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 7}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.06239347026535,"{0: 17, 1: 3, 2: 1, 3: 3, 4: 1}",0
21,False,"{'a': 0.5, 'e': 1.0}",25,0,-238.5751268142535,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 4}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.20292774261762,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.05139529891989,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-231.33809913941747,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.70985297385115,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 1.0}",30,0,-203.80361476307291,"{0: 11, 1: 5, 2: 11, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.88173707391556,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.62505244865625,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 1.0}",35,0,-140.51280792928236,"{0: 22, 1: 1, 2: 10, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 1.0}",30,0,-63.3155012991325,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.42001712649822,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 1.0}",30,0,-107.49331346780376,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.55337413346892,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.83902810414352,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 1.0}",35,0,-209.6302628797267,"{0: 19, 1: 6, 2: 5, 3: 3, 4: 2}",0
36,False,"{'a': 0.5, 'e': 1.0}",25,11,-139.51496325002935,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 3}",1
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.13798766126216,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.9449819884166,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.54268586256309,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
40,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.40026309467346,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 1.0}",20,1,-79.69345543994527,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.73490547109267,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.36922835994636,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
44,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.6731759766853,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.94661034441927,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.0610459502123,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 1.0}",30,0,-85.97103440796748,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 0}",0
48,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.24183829574382,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.47087731788324,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.62806577604417,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 1.0}",25,6,-103.34128352690163,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 2}",1
52,False,"{'a': 0.5, 'e': 1.0}",35,0,-239.38597048282514,"{0: 18, 1: 3, 2: 10, 3: 1, 4: 3}",0
53,False,"{'a': 0.5, 'e': 1.0}",30,0,-215.78863804091162,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 4}",0
54,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.60838980573013,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 1.0}",20,13,-10.377195932573352,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.02212316354928,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 1.0}",30,0,-217.34140139825215,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
58,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.72145754466356,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 1.0}",20,2,-87.91029293535361,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.40135363838533,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 1.0}",20,8,-64.57153911338854,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.11387555738031,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
