trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-115.35631844767424,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.37431446396037,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.30155597460993,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.41299886677,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-207.34218250366186,"{0: 14, 1: 6, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-170.83058533622523,"{0: 23, 1: 1, 2: 7, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.00065136441873,"{0: 6, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.319745734661915,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.14293994538156,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.86827555018144,"{0: 10, 1: 4, 2: 6, 3: 4, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.15839139024894,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.87702105167136,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.25071357318733,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.92064588639332,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,8,-75.61332256636797,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-329.48967580695717,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-88.62444865051938,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.87961094559785,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.97857101136114,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.79231598898514,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.26580568884498,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,19,-41.93765802282988,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.98416552067297,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.16472111207342,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-162.91924006200054,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.34780566093218,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-8.503071055306101,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.98749897662594,"{0: 15, 1: 6, 2: 5, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-116.1847696956731,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-215.67816573238179,"{0: 9, 1: 7, 2: 5, 3: 1, 4: 3}",0
